Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,ID,Home Ownership_Have Mortgage,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Years in current job_0,Years in current job_1,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Years in current job_10
482087,10,0,11,26,685960,1,14,1,1,0,99999999,47386,7914,749,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1025487,10,0,15,15,1181730,0,14,0,1,1,264968,394972,18373,737,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
751412,8,0,11,35,1182434,0,14,0,1,0,99999999,308389,13651,742,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
805068,6,0,8,22,147400,1,14,1,1,0,121396,95855,11338,694,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
776264,8,0,13,13,385836,1,14,0,1,0,125840,93309,7180,719,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1168386,7,0,12,14,366784,0,14,0,0,1,337304,165680,18692,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1511108,10,0,9,20,388124,0,73,0,0,0,99999999,51623,2317,745,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1040060,10,0,13,12,330374,0,18,0,0,0,250888,89015,19761,705,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,5,0,17,15,0,1,14,1,0,0,129734,19,17,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1168386,1,0,10,24,511302,0,6,0,1,1,572880,205333,17613,0,1,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1168386,0,0,7,11,256322,0,14,0,1,0,220858,187492,14592,0,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1828560,4,0,12,17,839080,0,14,0,1,0,441100,402914,15528,737,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
933432,10,0,8,14,443608,0,14,0,1,0,337766,315305,19446,706,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2066364,10,0,11,17,1654026,0,14,0,1,1,549780,1037077,21869,728,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2258796,7,0,11,17,1602546,0,14,0,0,0,185262,1374327,58352,748,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
848464,10,0,9,18,296186,0,14,0,1,0,145134,41439,12939,727,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,7,0,6,17,899492,0,14,0,1,1,313038,538346,18844,0,1,16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3361898,3,0,14,28,1042096,0,14,0,1,1,498872,689396,52249,644,1,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1401744,2,0,9,29,387222,0,40,0,1,1,553586,201989,13434,695,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1020072,2,0,6,12,199078,0,14,0,1,0,309672,120517,14451,712,1,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1651993,10,0,11,26,663894,0,44,0,1,1,585090,252852,8742,697,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1047394,6,0,7,34,401104,0,45,0,1,0,324852,183597,7786,719,1,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
463790,10,0,6,28,288442,0,14,0,1,0,99999999,157700,5063,738,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,17,14,700040,0,17,0,1,0,174878,168074,17132,0,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,12,25,1216336,0,61,0,1,0,467676,818311,37530,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1353142,10,0,3,29,1231912,0,14,0,0,0,108042,1036279,22225,720,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
951425,2,0,20,15,748880,0,14,0,0,0,66110,285874,17046,742,0,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1004055,8,0,7,14,328394,0,14,0,1,0,99999999,195966,6041,734,0,27,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
